cycles,value,time
200,53.1323,3.7967
200,51.5019,3.2911
200,54.0423,3.6367
200,50.6292,4.5196
200,51.772,4.7608
200,51.2374,5.3118
200,54.229,5.2511
200,51.5068,4.9955
200,55.0325,4.8339
200,49.4482,5.024
200,52.2392,4.6877
200,54.3315,4.7582
200,50.0289,4.8776
200,52.0545,5.1585
200,52.9047,5.1079
200,50.7072,4.9901
200,50.8247,4.8431
200,51.3582,4.936
200,50.489,4.971
200,52.2125,5.1473
200,52.0451,4.9978
200,50.0493,5.063
200,51.2326,4.8172
200,51.2617,4.9013
200,50.5928,5.2447
200,54.3637,4.9409
200,51.4798,5.114
200,52.6448,4.971
200,51.3411,5.0312
200,54.8246,4.9277
200,51.3494,4.998
200,53.3985,4.9056
200,50.5428,4.9874
200,54.7668,5.0431
200,47.6278,5.014
200,53.5885,4.86
200,55.4206,4.9384
200,52.2303,5.3707
200,52.2809,4.961
200,50.119,4.925
200,55.7186,4.9419
200,51.676,4.8439
200,52.0259,4.9228
200,48.0353,5.034
200,50.5796,5.0655
200,52.3447,5.1853
200,49.0175,4.9664
200,51.1265,4.996
200,54.6091,4.971
200,54.0526,5.118
200,51.1435,4.942
200,52.877,4.7909
200,49.0474,4.95
200,53.624,4.919
200,53.7946,4.847
200,49.7486,4.9693
200,52.0321,5.0158
200,52.1843,5.0187
200,52.4629,4.6985
200,51.7277,4.8098
200,52.6452,4.8244
200,56.7609,4.8568
200,51.4979,5.0471
200,55.8484,4.9571
200,56.0965,5.128
200,49.8659,4.8729
200,52.2715,4.918
200,50.7358,4.8481
200,51.8965,4.973
200,47.8284,4.864
200,53.3564,4.948
200,53.0048,4.708
200,47.2888,5.102
200,52.9948,5.42
200,51.8668,4.775
200,53.9371,4.891
200,52.2963,4.912
200,49.1852,4.8011
200,51.9751,4.7508
200,51.2813,5.0211
200,48.8807,4.8309
200,54.3382,4.9699
200,51.2592,5.1529
200,52.2026,5.0341
200,51.4208,4.87
200,52.9753,4.815
200,53.842,4.635
200,51.7552,4.751
200,51.3503,4.958
200,52.2097,4.842
200,51.0578,5.086
200,51.7184,4.8561
200,52.0546,5.043
200,52.955,4.9089
200,52.5857,5.313
200,51.4878,4.697
200,50.7092,5.113
200,54.2731,4.9702
200,50.7884,4.8949
200,50.3859,5.0031
50,49.7333,1.329
50,50.9901,1.2242
50,49.6084,1.2758
50,47.9466,1.232
50,51.6994,1.347
50,51.5181,1.288
50,43.7926,1.3011
50,48.2717,1.298
50,44.7262,1.3169
50,48.8278,1.235
50,54.3624,1.225
50,50.0826,1.2211
50,45.5411,1.301
50,47.718,1.348
50,46.662,1.205
50,50.4888,1.2613
50,49.28,1.345
50,50.8659,1.2429
50,45.3496,1.238
50,51.8419,1.384
50,45.4001,1.371
50,51.8583,1.282
50,47.7024,1.289
50,51.1632,1.3889
50,44.3519,1.363
50,46.9513,1.3039
50,51.1291,1.27
50,50.5646,1.2549
50,43.0221,1.327
50,48.9508,1.1885
50,56.8033,1.205
50,49.5103,1.2311
50,48.0628,1.3229
50,45.6124,1.2782
50,45.3408,1.2749
50,48.7734,1.32
50,46.1987,1.1681
50,52.4486,1.3791
50,44.9789,1.417
50,44.7631,1.388
50,46.6111,1.353
50,48.4926,1.322
50,45.6525,1.2097
50,51.271,1.338
50,45.1634,1.296
50,45.0237,1.244
50,50.3001,1.2709
50,47.7869,1.166
50,44.0737,1.189
50,48.7006,1.336
50,53.7567,1.0991
50,53.2619,1.263
50,52.2418,1.277
50,49.019,1.299
50,51.9849,1.1081
50,52.5458,1.239
50,45.7861,1.3321
50,47.5683,1.1371
50,52.3322,1.2939
50,50.7818,1.214
50,47.5217,1.255
50,50.4671,1.178
50,49.6624,1.179
50,47.0733,1.2128
50,52.9421,1.3082
50,47.3469,1.282
50,51.112,1.2328
50,45.6688,1.2861
50,47.9643,1.277
50,53.9606,1.185
50,46.935,1.2948
50,46.7989,1.3412
50,46.3685,1.305
50,45.769,1.32
50,48.4661,1.228
50,49.5157,1.173
50,44.6449,1.307
50,45.7342,1.355
50,48.153,1.319
50,50.3103,1.2389
50,49.3889,1.059
50,52.2725,1.3359
50,52.7367,1.35
50,46.9005,1.294
50,51.7981,1.1899
50,49.4196,1.158
50,51.2582,1.246
50,47.0507,1.1491
50,51.2616,1.321
50,52.2263,1.166
50,53.4684,1.31
50,50.1043,1.2909
50,50.4245,1.311
50,48.9905,1.3848
50,49.4807,1.2259
50,47.7559,1.2301
50,45.4813,1.2487
50,50.746,1.2331
50,53.5048,1.309
50,51.3745,1.3169
400,51.8272,9.4582
400,52.0171,9.7639
400,53.0863,9.5592
400,52.9553,9.7652
400,55.2358,8.6494
400,53.5213,9.5816
400,51.7441,10.3286
400,51.382,9.8498
400,54.6441,9.9393
400,52.0349,8.8925
400,54.8755,9.6555
400,51.8867,9.0513
400,53.1532,9.8502
400,55.4509,9.5926
400,50.7951,8.5466
400,53.7146,9.6268
400,52.2249,9.8864
400,52.1972,8.8115
400,53.5434,9.7332
400,51.9698,9.3007
400,51.9916,9.8441
400,52.4545,9.1076
400,53.9091,7.8886
400,49.9503,10.0528
400,52.7495,9.4749
400,52.6284,10.1921
400,50.9125,8.2963
400,50.0308,10.1619
400,53.3033,9.1299
400,54.4908,8.8637
400,56.2552,10.1577
400,49.7265,9.5034
400,53.8544,9.0171
400,55.3332,9.5619
400,52.1233,8.7705
400,52.741,8.8938
400,57.4732,9.2677
400,57.3957,8.0329
400,54.8368,9.0149
400,51.6252,9.5842
400,54.1337,8.5242
400,53.2141,9.0488
400,54.2933,9.2389
400,56.9169,10.0863
400,55.6978,9.5418
400,53.2827,8.7052
400,52.789,10.1522
400,52.8677,8.9377
400,51.5398,8.6791
400,54.2176,8.5049
400,52.8496,8.5217
400,54.5505,7.686
400,52.5606,7.7816
400,54.2763,9.7872
400,54.2236,9.1741
400,57.0973,10.4368
400,53.7781,7.8918
400,51.9466,8.3026
400,54.61,9.1917
400,54.3657,8.8501
400,54.5463,10.2376
400,54.0413,7.7134
400,51.499,9.4644
400,49.9203,8.2823
400,52.9752,9.5099
400,54.2139,8.4161
400,50.9475,8.042
400,53.2609,8.7183
400,49.3082,8.5033
400,55.4296,9.3725
400,50.2843,8.5549
400,49.2215,7.6338
400,52.2792,9.079
400,54.1595,9.4906
400,51.4861,8.5498
400,51.6724,10.1402
400,53.5657,10.7338
400,53.2783,8.4122
400,56.0299,8.5585
400,52.1219,7.7634
400,52.9252,7.75
400,56.3934,8.0193
400,49.9025,10.1465
400,53.1735,8.5686
400,55.3819,7.9351
400,49.8552,8.5763
400,54.9371,9.3804
400,54.1506,10.4479
400,50.6893,8.8927
400,54.2594,9.0846
400,53.5108,8.9927
400,54.2532,7.6678
400,52.2229,7.7575
400,51.987,9.3456
400,53.0322,8.3627
400,53.1156,8.0956
400,53.6386,9.4651
400,53.0494,8.7255
400,53.3413,9.3042
400,57.5842,9.7724
400,49.7383,8.7896
400,51.7949,8.2184
400,53.895,9.3466
400,52.8909,8.388
400,50.5679,8.8637
400,51.437,9.5023
400,51.099,8.1291
400,53.579,8.8183
400,53.9814,8.9403
400,52.7659,9.1635
400,55.25,8.204
400,52.1841,9.8812
400,52.851,9.8842
400,54.2392,9.445
400,51.8964,9.0847
400,52.3294,8.8634
400,52.2902,9.1586
400,49.6686,9.165
400,52.8488,8.8198
400,50.8636,8.7147
400,53.7751,8.8696
400,52.4837,8.3179
400,54.3094,9.571
400,53.9074,7.9783
400,54.9852,9.4986
400,53.4488,9.887
400,53.4469,9.5302
400,53.0522,9.2542
400,54.2807,8.9418
400,56.382,9.429
400,53.8225,9.7815
400,54.6893,10.515
400,55.5813,9.8406
400,52.2898,8.1091
400,53.9118,9.0099
400,52.8718,7.8757
400,53.4669,8.8785
400,51.2831,9.0622
400,52.8824,8.5313
400,55.1424,9.3529
400,53.4031,8.7044
400,53.3209,9.996
400,53.48,9.8653
400,54.5351,9.7976
400,50.4138,8.8922
400,51.8653,8.5014
400,50.0168,8.9955
400,50.9887,9.0996
400,52.8901,9.358
400,52.7833,9.7265
400,52.977,9.3091
400,52.4493,8.4379
400,50.8964,9.3802
400,51.1244,8.6668
400,52.5799,8.6874
400,52.2824,8.5909
400,53.878,7.957
400,51.292,8.1773
400,50.8007,8.5909
400,53.2514,8.7238
400,53.5825,8.6762
400,54.3183,10.1485
400,52.5092,8.6205
400,52.7029,9.2127
400,50.7189,8.4313
400,53.9632,8.9158
400,54.3302,8.7026
400,50.6048,9.9433
400,56.4703,10.5219
400,52.7132,8.572
400,51.7442,9.0875
400,55.1219,8.7181
400,52.6748,9.8152
400,54.1364,8.0344
400,52.1686,9.1601
400,54.1543,8.8101
400,52.6629,9.7524
400,51.5777,9.2586
400,50.4676,10.0233
400,54.4078,10.0185
400,54.2215,8.8565
400,58.24,8.3257
400,54.851,8.8242
400,54.1297,8.6972
400,54.6139,10.1135
400,53.6939,8.737
400,52.9131,9.4549
400,52.0834,9.5443
400,53.1262,9.1107
400,50.778,9.3079
400,52.2008,9.4804
400,52.3563,8.9163
400,53.6933,7.458
400,52.8286,8.6012
400,52.4095,9.2664
400,52.6482,8.4341
400,51.3585,8.8004
400,52.6716,8.1647
400,52.1496,8.3757
400,53.1271,9.2189
400,53.3339,8.8658
400,51.4189,7.7964
400,53.8365,8.9222
400,51.4179,9.7571
400,55.8528,7.4822
400,51.2181,10.424
400,51.6975,10.0984
400,53.1432,9.3717
400,53.8376,9.1575
400,52.975,8.271
400,50.8971,9.5044
400,51.1915,8.0916
400,52.5476,9.0472
400,50.8171,7.5174
400,50.8617,9.5255
400,53.1509,9.7997
400,55.0254,8.2726
400,51.8649,9.0394
400,52.6242,8.2036
400,54.4596,9.1318
400,55.4979,10.0559
400,53.9762,10.274
400,58.0466,9.227
400,54.6467,9.0918
400,54.1182,9.1351
400,52.6807,9.4772
400,51.4197,8.8736
400,53.9498,8.534
400,54.434,10.3718
400,53.2511,8.6893
400,51.3689,8.833
400,56.6416,8.5047
400,50.3345,10.6743
400,53.8877,7.5602
400,54.4845,9.7552
400,51.7088,7.6367
400,53.2775,8.6335
400,55.7861,8.2737
400,53.1647,8.328
400,54.461,9.3064
400,49.825,9.8326
400,51.253,8.5186
400,52.3947,10.6701
400,50.3601,10.1056
400,52.0361,6.7676
400,53.8488,8.756
400,54.8215,10.2138
400,54.1732,8.8042
400,52.3011,9.3651
400,53.2711,8.069
400,54.8138,10.0827
400,52.5604,9.1832
400,53.4279,9.4211
400,52.2476,8.626
400,52.2572,9.3494
400,54.9782,8.9439
400,52.5714,8.7695
400,54.7781,8.4722
400,54.7884,9.6956
400,51.0637,8.0475
400,53.2497,8.1093
400,52.6823,10.3572
400,50.4955,8.4555
400,53.2553,9.6396
400,55.1525,8.3745
400,51.8187,8.0967
400,52.9687,8.5016
400,53.8724,9.5966
400,52.1857,9.539
400,51.9502,10.454
400,51.8051,9.9878
400,55.6527,8.8751
400,54.1622,9.8671
400,52.9322,10.1214
400,50.7435,9.4846
400,52.6224,9.6767
400,50.9346,9.8658
400,57.2561,9.5735
400,52.966,8.5591
400,55.0047,8.9403
400,53.6732,8.0177
400,52.1311,10.1653
400,52.4795,9.2811
400,54.4163,8.7543
400,54.4135,9.2193
400,51.6678,9.9549
400,51.1023,8.7917
400,53.2284,9.9241
400,53.4987,9.0044
400,51.7844,9.7776
400,55.8072,8.1499
400,51.9361,8.4115
400,51.4388,7.8188
400,50.3653,9.2778
400,53.4752,8.7438
400,53.5018,9.5468
400,52.2278,8.3064
400,56.3384,9.852
400,54.6021,8.7851
400,54.7989,8.6527
400,53.0442,9.0479
400,55.9777,8.4008
400,50.5033,9.2534
400,53.1499,9.4535
400,52.2582,9.4059
400,53.0306,8.9728
400,53.535,8.4856
400,51.5546,9.6154
400,53.1553,8.8424
400,51.6569,9.1859
400,53.1319,8.8373
400,52.9922,9.5685
400,53.48,7.62
400,52.7086,8.6562
400,52.0726,9.2655
400,53.5276,9.3192
400,51.2348,9.5921
400,51.9292,8.6709
400,53.3164,8.3377
400,54.4179,10.1491
400,54.1463,8.2018
400,52.7661,8.5557
400,51.4152,8.3452
400,55.0896,8.8816
400,52.3363,9.3232
400,51.6683,9.3644
400,53.9565,9.7986
400,52.2155,8.164
400,51.6049,9.764
400,52.7653,9.0802
400,50.7412,9.6572
400,54.0637,9.1307
400,51.0598,10.0478
400,51.9064,9.0144
400,52.2976,9.02
400,52.8941,8.9921
400,55.0294,8.657
400,49.9333,9.3306
400,52.9336,9.2269
400,54.0335,9.4201
400,53.5005,9.3118
400,52.4114,9.1453
400,52.1621,9.5767
400,56.0955,7.7354
400,51.7158,9.5958
400,51.3751,9.4387
400,53.4781,10.0786
400,54.0989,9.5462
