cycles,value,time
200,54.7168,11.5503
200,57.9141,12.2953
200,60.4376,12.1559
200,57.2437,12.0769
200,56.6603,11.2861
200,53.6952,11.8855
200,54.7368,11.4271
200,55.3907,11.506
200,57.2943,11.737
200,57.6963,11.934
200,55.5519,12.3428
200,53.4826,12.0712
200,55.6886,12.035
200,55.4089,11.8161
200,57.44,12.2781
200,54.5415,12.112
200,60.3763,12.33
200,59.8101,11.6511
200,54.9124,11.3492
200,56.1154,12.3508
200,53.9188,11.4591
200,55.2356,12.2341
200,56.9837,11.527
200,59.2726,12.055
200,56.0142,11.969
200,61.3748,11.726
200,56.2969,11.5351
200,59.7859,11.7938
200,54.5884,11.7829
200,55.3553,12.5091
200,54.9968,11.842
200,54.6243,10.9761
200,56.8941,11.6551
200,56.5536,11.5021
200,57.6306,12.246
200,53.9999,11.741
200,60.611,12.061
200,53.6131,12.101
200,60.9497,11.521
200,54.5538,10.941
200,56.1103,11.137
200,59.9205,11.382
200,51.0153,11.722
200,58.9271,11.874
200,53.5819,11.6978
200,55.5735,11.8392
200,61.6543,11.1671
200,62.0227,11.837
200,55.4312,11.679
200,56.2822,12.467
200,56.7352,11.6271
200,57.0326,11.473
200,62.1259,11.726
200,55.1448,11.193
200,61.1602,11.346
200,56.3282,10.1651
200,55.0392,10.5229
200,56.6181,10.19
200,53.1716,9.95
200,53.505,9.898
200,53.2712,10.4021
200,55.4825,10.8197
200,60.8451,10.7812
200,54.1619,10.274
200,61.4233,9.962
200,56.5259,10.339
200,55.0645,9.622
200,54.8253,8.8859
200,56.97,9.8867
200,57.712,9.4603
200,56.8353,9.8821
200,55.6501,9.3911
200,53.5687,10.216
200,55.1631,10.6661
200,59.257,9.9909
200,53.1683,9.3829
200,55.6568,10.258
200,54.3555,9.8113
200,57.4345,9.6959
200,54.5126,10.006
200,56.0794,9.147
200,55.6063,10.1421
200,60.7504,9.8575
200,54.1987,9.9591
200,55.081,9.838
200,55.7972,10.0438
200,56.5556,10.195
200,55.5325,10.1321
200,57.0106,9.7129
200,54.8408,10.3276
200,55.6367,10.5465
200,55.8488,9.8851
200,55.3465,10.0397
200,58.4553,10.338
200,54.9221,9.9139
200,56.2427,10.3951
200,57.101,9.335
200,59.1475,10.067
200,54.833,10.5675
200,56.816,9.3404
50,52.7589,2.8151
50,50.7984,2.563
50,50.7343,2.7259
50,48.1268,2.476
50,55.9763,2.6709
50,46.683,2.678
50,47.4846,2.4679
50,53.9016,2.4331
50,52.081,2.2921
50,54.643,2.6066
50,47.2757,2.5644
50,56.1986,2.2912
50,53.2015,2.4909
50,58.7968,2.6176
50,48.1673,2.2021
50,54.3844,2.4752
50,55.2598,2.6571
50,46.2412,2.308
50,51.7566,2.322
50,50.9554,2.65
50,53.2242,2.3681
50,51.5392,2.6552
50,53.6035,2.6161
50,54.651,2.3015
50,52.3255,2.5831
50,47.761,2.4221
50,52.9964,2.273
50,46.9972,2.186
50,49.0164,2.5751
50,51.9367,2.7511
50,45.5361,2.4197
50,53.3753,2.6129
50,50.5375,2.716
50,46.4966,2.4579
50,53.419,2.337
50,47.127,2.6923
50,45.683,2.4063
50,50.1236,2.6843
50,57.7253,2.373
50,52.4594,1.9888
50,55.6843,2.5882
50,51.7259,2.2749
50,51.839,2.261
50,51.6375,2.109
50,51.771,2.5191
50,51.4861,2.626
50,51.1548,2.513
50,52.5878,2.6237
50,54.6658,2.6803
50,53.7668,2.563
50,48.1281,2.277
50,47.8589,2.549
50,54.9407,2.2208
50,55.5185,2.5791
50,50.8658,2.5809
50,54.9263,2.4612
50,52.287,2.498
50,46.8945,2.1291
50,53.5175,2.4019
50,48.8397,2.491
50,47.935,2.4469
50,47.8576,2.689
50,47.536,3.0367
50,48.0513,2.7058
50,54.8694,2.761
50,55.5306,2.729
50,55.3935,2.232
50,48.135,2.455
50,47.6991,2.557
50,58.8369,2.4799
50,60.9182,2.3003
50,55.4815,2.0556
50,55.0065,2.542
50,51.7027,2.5805
50,52.7579,2.6774
50,54.1611,2.49
50,52.2207,2.527
50,47.8558,2.77
50,56.8985,2.4811
50,53.4458,2.659
50,47.2184,2.2631
50,52.8395,2.5039
50,52.9987,2.5779
50,52.8245,2.4138
50,45.8688,1.9663
50,57.4586,2.549
50,51.0011,2.291
50,52.822,2.428
50,52.8674,2.802
50,53.5336,2.884
50,59.7504,2.5951
50,51.5071,2.533
50,53.7332,2.4633
50,46.1807,2.3869
50,53.01,2.7229
50,54.0183,2.677
50,53.4414,2.55
50,56.0054,2.4909
50,53.4371,2.3671
50,54.9239,2.188
400,55.5603,21.9005
400,61.3787,19.3215
400,54.2587,21.3429
400,57.0983,20.018
400,56.6708,20.1165
400,59.1632,22.6927
400,55.3103,19.9226
400,56.9644,20.4604
400,59.5814,20.151
400,59.7636,19.4771
400,56.4499,21.1747
400,55.4194,22.4441
400,61.8065,22.5685
400,52.6737,21.0566
400,62.6935,22.1141
400,57.6684,23.612
400,56.5597,19.717
400,56.7745,21.7402
400,61.7191,21.0415
400,56.7206,21.9951
400,57.3457,19.7703
400,59.6868,19.5578
400,57.3657,20.3331
400,62.7741,21.9919
400,62.4833,18.2328
400,54.2782,21.1264
400,56.9235,22.13
400,59.8402,22.9699
400,59.7574,22.3804
400,54.4589,23.5698
400,56.2534,20.5608
400,61.4591,21.6591
400,61.6708,23.808
400,55.7758,19.9986
400,60.8522,22.7952
400,58.3832,20.8127
400,57.856,21.6424
400,53.4441,20.885
400,63.0026,21.7681
400,60.3219,22.4642
400,53.3673,20.6175
400,56.8554,20.4603
400,57.8434,19.8335
400,54.7151,22.6889
400,54.0681,19.7678
400,57.044,20.358
400,58.3557,20.3491
400,55.6288,22.0108
400,60.8356,22.6771
400,56.2498,19.1305
400,55.3085,22.511
400,60.8196,18.9747
400,61.9623,23.3138
400,55.5703,22.002
400,58.7659,22.1957
400,54.822,23.0479
400,57.5228,20.6406
400,61.5447,20.0858
400,54.8838,22.9613
400,54.9987,19.0926
400,58.3071,19.7533
400,60.7052,21.3498
400,57.7124,20.3949
400,58.0768,20.3375
400,55.1566,22.4982
400,62.0284,21.676
400,54.5032,22.0778
400,55.2229,22.5359
400,60.2332,22.2021
400,56.0029,19.7254
400,57.8321,21.2568
400,57.6153,20.226
400,57.0572,20.888
400,61.1218,20.3103
400,59.7033,23.65
400,55.9558,22.8327
400,59.5839,20.8198
400,57.5458,22.3064
400,55.8726,22.5977
400,57.2587,19.2893
400,56.9734,20.8955
400,54.0292,19.7789
400,60.8371,23.7506
400,55.3696,19.8631
400,57.2868,22.0816
400,57.5336,19.261
400,55.5814,21.0492
400,57.7436,21.6875
400,56.7161,20.8173
400,55.444,21.9729
400,60.2967,23.2919
400,58.2587,22.3361
400,55.847,23.1288
400,55.742,24.5861
400,57.8618,20.4474
400,57.8439,22.2025
400,55.4649,21.9363
400,61.6695,21.7473
400,55.498,22.0933
400,56.6842,21.1893
400,55.3221,20.8469
400,57.058,22.0078
400,59.7929,20.5335
400,59.8706,16.4343
400,58.4806,24.3838
400,55.0605,21.3683
400,60.3371,21.0393
400,55.1741,23.0662
400,57.0847,22.2813
400,56.8381,19.8848
400,57.1661,22.4995
400,57.2774,22.122
400,61.5417,20.1914
400,60.6722,22.3556
400,56.0859,22.8992
400,61.3147,19.814
400,58.1973,22.4914
400,55.1196,20.71
400,62.1168,17.8186
400,54.9304,21.4976
400,61.5925,18.3836
400,57.7825,19.2316
400,56.9337,22.8348
400,59.0737,21.6529
400,55.1834,23.3618
400,55.4262,21.8414
400,55.9443,22.0299
400,61.1561,20.8144
400,56.2634,22.113
400,60.2796,21.4188
400,57.8776,21.8217
400,58.0276,20.8911
400,62.7171,21.3816
400,56.1065,22.3162
400,55.7942,19.9163
400,56.6631,20.0574
400,59.0804,21.1769
400,58.3045,19.0427
400,57.3037,20.9231
400,63.8412,21.3188
400,62.2264,19.87
400,57.028,19.6938
400,57.9413,20.9473
400,57.893,20.4415
400,56.0425,18.614
400,59.4019,21.983
400,56.6763,21.4279
400,61.8192,22.0338
400,57.4111,20.8697
400,57.9613,21.3044
400,58.1187,19.3926
400,55.8087,22.6275
400,61.1401,21.0343
400,54.5071,21.7165
400,58.5011,19.9651
400,57.2645,20.0217
400,55.7696,21.8918
400,59.3001,19.873
400,55.7242,21.5835
400,57.628,23.3855
400,57.5498,21.8505
400,56.0312,22.2576
400,63.1027,20.8016
400,60.6035,22.2829
400,59.0516,20.5712
400,60.7059,23.0923
400,62.5937,22.8248
400,55.4192,21.5394
400,58.0764,22.9336
400,56.6543,21.7131
400,55.2999,21.2472
400,62.5013,23.1312
400,60.6415,21.298
400,55.7923,23.911
400,55.3376,22.394
400,57.2545,19.956
400,61.7101,22.1756
400,56.8638,18.7846
400,58.215,20.3013
400,57.0721,21.5372
400,53.7941,20.5162
400,60.7758,22.0966
400,56.1527,20.1676
400,61.746,23.6665
400,55.4344,23.0668
400,61.9447,19.1694
400,58.0342,21.8265
400,60.6648,18.9254
400,56.5863,22.3509
400,56.2513,22.1814
400,55.411,22.3517
400,56.9644,21.8888
400,55.3465,22.0789
400,61.912,21.8629
400,57.7781,20.7714
400,56.7741,20.4397
400,59.7412,18.3817
400,57.5359,21.4611
400,62.3163,22.2338
400,55.8222,21.5137
400,55.8172,18.8638
400,61.4707,20.2027
400,59.2967,19.8731
400,57.0389,21.1727
400,58.6672,22.6077
400,59.712,17.9824
400,60.184,21.2066
400,49.0321,22.0418
400,58.0173,24.4582
400,55.6467,23.6843
400,56.4938,22.439
400,55.9203,20.8078
400,54.5328,20.7399
